No.1:Traction sensor V,1329,0,1252,1692,2087,1702,0,0,0,0,0,0,Traction sensor F/M,6.11129,105.178,-0.804084,-392.341,-13.2672,-8.69655,4.34466e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.08,1849.67,2449.95,1756.29,1718.14,1918.03,Contact sensor F/M,3.18375,1.78478,2.02874,-0.137799,6.34168,-0.771205,Robot TCP position,-0.146305,0.883184,0.818084,-0.304774,2.05623,-0.774456,Robot Joint position,89.9446,-90.1298,-89.7704,-145.281,-135.642,-105.481,Robot TCP Torque,7.24445,-8.30523,-12.8779,9.8448,12.7629,2.74793,Robot Joint Torque,-2.33412,4.26396,-0.726227,6.41011,0.859803,1.41063,
No.2:Traction sensor V,1330,0,1251,1692,2088,1704,0,0,0,0,0,0,Traction sensor F/M,5.99817,105.171,-0.894656,-392.304,-13.9329,-8.28623,4.34849e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.08,1849.67,2449.65,1756.59,1717.22,1918.03,Contact sensor F/M,3.80404,2.00872,1.97079,-0.972999,8.61698,-0.62104,Robot TCP position,-0.14617,0.883245,0.818156,-0.304498,2.05646,-0.774575,Robot Joint position,89.9412,-90.1284,-89.7704,-145.28,-135.626,-105.483,Robot TCP Torque,10.3923,-8.0313,-12.0597,9.31566,10.2196,5.52501,Robot Joint Torque,-2.18824,4.4087,-0.937198,6.69886,0.279407,1.46821,
No.3:Traction sensor V,1330,0,1251,1691,2089,1705,0,0,0,0,0,0,Traction sensor F/M,5.99554,105.174,-0.908175,-392.574,-14.1776,-8.07952,4.31881e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1985.47,1849.67,2451.78,1756.59,1718.44,1918.33,Contact sensor F/M,3.28012,1.99404,2.33245,-0.857519,6.12068,-0.479392,Robot TCP position,-0.146187,0.883249,0.818195,-0.304492,2.05653,-0.774557,Robot Joint position,89.944,-90.1277,-89.7697,-145.279,-135.621,-105.483,Robot TCP Torque,8.97522,-8.4648,-12.7904,9.58842,11.3853,4.64756,Robot Joint Torque,-2.33412,4.19158,-0.876919,6.46786,1.23706,1.46821,
No.4:Traction sensor V,1330,0,1254,1693,2089,1703,0,0,0,0,0,0,Traction sensor F/M,5.98771,105.16,-0.609549,-392.027,-14.2678,-8.49955,4.31875e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1985.47,1849.98,2451.48,1755.37,1718.75,1918.64,Contact sensor F/M,3.08499,1.01288,2.29501,2.46456,5.3962,-0.465998,Robot TCP position,-0.146134,0.883305,0.8181,-0.304492,2.0565,-0.774725,Robot Joint position,89.9405,-90.1311,-89.7718,-145.282,-135.621,-105.483,Robot TCP Torque,8.34452,-8.45207,-13.0969,9.79806,11.9851,4.31209,Robot Joint Torque,-1.82353,4.11921,-0.816641,6.55449,1.32412,1.58336,
No.5:Traction sensor V,1331,0,1258,1691,2090,1701,0,0,0,0,0,0,Traction sensor F/M,5.88156,105.16,-0.25563,-392.584,-14.9462,-8.95197,4.34849e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1985.47,1849.67,2451.48,1756.29,1718.75,1918.64,Contact sensor F/M,3.0756,1.78209,2.28547,-0.0797112,5.36703,-0.318965,Robot TCP position,-0.146166,0.883285,0.818119,-0.304495,2.05651,-0.774703,Robot Joint position,89.9433,-90.1291,-89.7725,-145.283,-135.619,-105.485,Robot TCP Torque,10.1328,-8.97033,-13.249,10.0094,12.2502,5.3778,Robot Joint Torque,-2.48,4.4087,-0.967333,6.35236,1.15,1.9864,
No.6:Traction sensor V,1329,0,1255,1691,2089,1700,0,0,0,0,0,0,Traction sensor F/M,6.1032,105.174,-0.537053,-392.625,-13.8341,-9.1305,4.33404e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1985.47,1849.67,2449.34,1755.68,1718.14,1918.03,Contact sensor F/M,3.49882,1.38018,1.93108,1.35812,6.89923,-0.801293,Robot TCP position,-0.146155,0.883294,0.818106,-0.304533,2.05652,-0.774733,Robot Joint position,89.9426,-90.1298,-89.7731,-145.282,-135.619,-105.482,Robot TCP Torque,10.5379,-10.225,-13.324,9.64492,12.4849,5.11479,Robot Joint Torque,-1.96941,3.9021,-0.726227,6.55449,0.946863,2.36065,
No.7:Traction sensor V,1330,0,1252,1692,2087,1699,0,0,0,0,0,0,Traction sensor F/M,6.00653,105.171,-0.789188,-392.336,-13.6971,-9.34519,4.31881e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1984.25,1849.98,2451.78,1755.98,1718.14,1918.33,Contact sensor F/M,4.11553,1.44863,2.3355,0.882818,7.99424,-0.454519,Robot TCP position,-0.146173,0.883276,0.818153,-0.304493,2.05653,-0.774669,Robot Joint position,89.944,-90.1284,-89.7711,-145.283,-135.619,-105.484,Robot TCP Torque,10.4891,-7.67414,-11.5653,8.83739,11.7884,5.80892,Robot Joint Torque,-2.40706,4.26396,-0.907062,5.97698,1.35314,2.90763,
No.8:Traction sensor V,1329,0,1248,1692,2087,1699,0,0,0,0,0,0,Traction sensor F/M,6.11571,105.177,-1.15829,-392.345,-13.2576,-9.32506,4.34496e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.08,1849.06,2452.7,1755.07,1718.75,1918.64,Contact sensor F/M,2.75759,1.27161,2.50004,2.43384,4.82627,-0.449327,Robot TCP position,-0.146148,0.883243,0.818181,-0.304399,2.05653,-0.774617,Robot Joint position,89.9419,-90.1256,-89.7718,-145.283,-135.62,-105.487,Robot TCP Torque,10.1223,-9.44701,-12.797,9.57041,12.6651,5.29863,Robot Joint Torque,-2.18824,4.26396,-0.816641,6.1791,1.12098,2.56217,
No.9:Traction sensor V,1329,0,1246,1691,2085,1701,0,0,0,0,0,0,Traction sensor F/M,6.13054,105.192,-1.35528,-392.627,-12.645,-8.90081,4.34496e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1985.78,1848.45,2451.78,1755.07,1718.14,1918.64,Contact sensor F/M,3.31944,1.59654,2.34139,1.8235,6.59901,-0.287176,Robot TCP position,-0.146194,0.883287,0.81814,-0.3045,2.05649,-0.774632,Robot Joint position,89.9446,-90.1305,-89.7697,-145.282,-135.621,-105.485,Robot TCP Torque,10.5754,-9.97719,-12.2789,9.25378,12.398,5.40249,Robot Joint Torque,-2.40706,4.4087,-0.876919,6.1791,1.46922,2.59096,
No.10:Traction sensor V,1329,0,1249,1689,2087,1702,0,0,0,0,0,0,Traction sensor F/M,6.12413,105.197,-1.10727,-393.179,-13.1643,-8.70387,4.31909e-316,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1986.39,1849.67,2451.17,1756.59,1718.75,1918.03,Contact sensor F/M,2.60956,1.97612,2.23348,-0.824486,4.5419,-0.8285,Robot TCP position,-0.146141,0.883275,0.818149,-0.304476,2.05654,-0.77471,Robot Joint position,89.9419,-90.1277,-89.7718,-145.284,-135.619,-105.483,Robot TCP Torque,9.69674,-10.0242,-12.5095,9.06303,12.4004,5.13052,Robot Joint Torque,-2.26118,4.33633,-0.937198,5.9481,1.15,2.59096,
