No.1:Traction sensor V,1322,1951,1246,1692,2074,1691,0,0,0,0,0,0,Traction sensor F/M,1.556,-0.767193,0.82793,4.41755,6.82775,-0.368559,1.56954e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1983.64,1854.86,2444.46,1755.98,1718.75,1918.64,Contact sensor F/M,2.30816,-0.441005,1.68332,1.37047,3.22376,0.686422,Robot TCP position,-0.0864537,0.226566,0.832827,-0.515369,1.33875,1.1225,Robot Joint position,89.8828,-90.9413,-88.7051,3.97855,-125.623,-15.2947,Robot TCP Torque,-46.7334,-21.8615,3.80167,-6.58134,2.67577,13.4159,Robot Joint Torque,25.8212,11.7082,-3.77821,-6.00405,2.37094,0.950018,
No.2:Traction sensor V,1323,1951,1245,1692,2075,1692,0,0,0,0,0,0,Traction sensor F/M,1.44354,-0.775001,0.74025,4.45003,6.15557,-0.16989,1.56577e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1983.64,1854.25,2444.46,1755.98,1718.14,1918.33,Contact sensor F/M,2.71207,-0.116907,1.67854,0.777953,4.72339,0.590408,Robot TCP position,-0.0864633,0.22653,0.83286,-0.515307,1.3387,1.12257,Robot Joint position,89.8841,-90.9385,-88.7017,3.97718,-125.624,-15.2954,Robot TCP Torque,-46.9419,-24.0592,4.04979,-6.81103,2.97887,12.4508,Robot Joint Torque,25.8941,10.1884,-3.65766,-6.46605,1.7325,0.834865,
No.3:Traction sensor V,1323,1951,1244,1692,2076,1692,0,0,0,0,0,0,Traction sensor F/M,1.43851,-0.778337,0.649241,4.45938,5.88508,-0.169173,1.57125e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1982.73,1853.64,2443.24,1755.37,1718.44,1918.33,Contact sensor F/M,2.96723,-0.215925,1.47736,1.74124,4.77212,0.610355,Robot TCP position,-0.086433,0.22655,0.832846,-0.515353,1.33873,1.12252,Robot Joint position,89.8807,-90.9406,-88.703,3.97718,-125.621,-15.2947,Robot TCP Torque,-49.2232,-23.296,5.57111,-7.12879,3.01876,13.0938,Robot Joint Torque,25.8212,10.6227,-3.56724,-6.95694,1.15211,0.863653,
No.4:Traction sensor V,1323,1951,1242,1691,2075,1692,0,0,0,0,0,0,Traction sensor F/M,1.44903,-0.768151,0.542248,4.17421,6.25145,-0.157025,1.57156e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1983.64,1854.55,2444.46,1755.68,1717.53,1918.33,Contact sensor F/M,3.13242,-0.463482,1.67973,1.75814,6.26109,0.594903,Robot TCP position,-0.0864368,0.226534,0.832848,-0.515423,1.3387,1.12261,Robot Joint position,89.8848,-90.9406,-88.7023,3.97718,-125.619,-15.2947,Robot TCP Torque,-49.5898,-24.2844,6.42398,-7.43701,3.39675,12.853,Robot Joint Torque,26.3318,10.4779,-3.86863,-7.41894,1.12309,0.92123,
No.5:Traction sensor V,1322,1951,1240,1689,2072,1693,0,0,0,0,0,0,Traction sensor F/M,1.5806,-0.738814,0.247376,3.58177,7.52255,0.0540226,1.57079e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1982.42,1854.55,2444.76,1756.59,1718.44,1918.64,Contact sensor F/M,3.12682,0.143635,1.724,-0.458699,5.05152,0.930296,Robot TCP position,-0.0863925,0.226509,0.832835,-0.515497,1.33864,1.1227,Robot Joint position,89.8841,-90.9413,-88.701,3.97924,-125.612,-15.2926,Robot TCP Torque,-48.9776,-22.9923,7.08712,-7.3994,3.19776,13.2516,Robot Joint Torque,25.9671,10.5503,-3.77821,-7.99645,1.47132,0.950018,
No.6:Traction sensor V,1324,1949,1241,1686,2073,1693,0,0,0,0,0,0,Traction sensor F/M,1.37676,-0.626685,0.315635,2.36933,6.47673,0.00369423,1.57124e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1983.34,1853.64,2443.85,1756.59,1718.75,1917.72,Contact sensor F/M,2.44219,0.590773,1.57088,-1.24476,3.44028,0.204378,Robot TCP position,-0.0863942,0.226495,0.832802,-0.515415,1.33864,1.12274,Robot Joint position,89.8834,-90.9399,-88.7044,3.98336,-125.613,-15.2954,Robot TCP Torque,-49.2614,-22.7303,6.69343,-7.19814,3.1224,13.2835,Robot Joint Torque,25.9671,10.695,-3.74807,-7.24569,1.41329,0.892442,
No.7:Traction sensor V,1323,1949,1243,1686,2071,1692,0,0,0,0,0,0,Traction sensor F/M,1.49425,-0.615541,0.494324,2.3275,7.4194,-0.195692,1.5708e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1983.34,1854.55,2445.07,1756.29,1717.53,1918.33,Contact sensor F/M,3.28276,-0.0495178,1.77565,0.2458,6.52114,0.697098,Robot TCP position,-0.0863874,0.226467,0.832803,-0.515328,1.33855,1.12281,Robot Joint position,89.8828,-90.9385,-88.701,3.98611,-125.612,-15.2947,Robot TCP Torque,-47.5453,-23.5514,6.37741,-7.26828,3.36305,12.5816,Robot Joint Torque,26.4777,10.9845,-3.80835,-7.5922,1.38427,0.806076,
No.8:Traction sensor V,1325,1949,1241,1686,2071,1692,0,0,0,0,0,0,Traction sensor F/M,1.28194,-0.625327,0.325322,2.36952,6.6174,-0.219869,1.57161e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1983.64,1853.33,2443.85,1755.37,1718.44,1918.33,Contact sensor F/M,2.495,-0.0682081,1.58016,1.49398,3.94416,0.573199,Robot TCP position,-0.086401,0.22652,0.832779,-0.515442,1.33864,1.12271,Robot Joint position,89.8841,-90.942,-88.7051,3.98542,-125.614,-15.294,Robot TCP Torque,-48.2108,-22.7874,6.48875,-7.18966,3.17723,12.9316,Robot Joint Torque,26.4777,10.4055,-3.77821,-7.30344,1.32623,0.892442,
No.9:Traction sensor V,1325,1950,1237,1687,2070,1691,0,0,0,0,0,0,Traction sensor F/M,1.28455,-0.681457,-0.0222449,2.85388,6.90364,-0.416,1.57079e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1983.64,1854.86,2444.46,1756.59,1717.83,1917.72,Contact sensor F/M,2.92595,-0.0122165,1.67385,-0.217633,5.49093,0.163998,Robot TCP position,-0.0863886,0.226508,0.832779,-0.515452,1.33861,1.12276,Robot Joint position,89.8841,-90.942,-88.7037,3.98611,-125.611,-15.2933,Robot TCP Torque,-49.4049,-23.2514,6.73856,-7.28556,3.1084,13.3514,Robot Joint Torque,26.4047,10.116,-3.74807,-7.30344,1.35525,0.863653,
No.10:Traction sensor V,1325,1951,1239,1687,2072,1688,0,0,0,0,0,0,Traction sensor F/M,1.2716,-0.745966,0.169093,3.05344,6.32228,-1.0518,1.57161e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1983.34,1853.64,2444.15,1756.9,1718.75,1917.11,Contact sensor F/M,2.43973,0.795816,1.61928,-1.99784,3.43278,-0.230988,Robot TCP position,-0.0863901,0.226493,0.83279,-0.515362,1.3386,1.1228,Robot Joint position,89.8834,-90.9406,-88.7023,3.98611,-125.612,-15.2961,Robot TCP Torque,-48.3192,-23.6479,6.94587,-7.24858,3.29599,12.8343,Robot Joint Torque,26.1859,10.4779,-3.71794,-7.44782,1.32623,0.834865,
