No.1:Traction sensor V,1327,1928,1242,1693,2071,1692,0,0,0,0,0,0,Traction sensor F/M,1.09361,0.464591,0.463145,0.0884954,5.40704,-0.3075,1.49136e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1987.92,1845.7,2443.85,1755.07,1717.83,1918.33,Contact sensor F/M,0.614109,3.58252,1.56145,-4.51593,1.39615,1.0963,Robot TCP position,0.40454,0.222858,0.829168,-1.59883,-0.446579,0.763475,Robot Joint position,89.8889,-90.8802,-88.7731,4.01561,-55.4501,74.8493,Robot TCP Torque,-45.5262,-18.2456,6.03616,-2.29281,-6.35881,19.2634,Robot Joint Torque,21.8824,11.7114,0.818054,-2.75994,-0.813997,2.50459,
No.2:Traction sensor V,1326,1927,1243,1694,2073,1694,0,0,0,0,0,0,Traction sensor F/M,1.18594,0.512125,0.549831,0.16807,5.2313,0.126011,1.49072e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1988.53,1846.01,2443.24,1755.68,1716.92,1918.33,Contact sensor F/M,0.928543,3.84856,1.45185,-5.82994,3.13051,1.20252,Robot TCP position,0.404582,0.222874,0.82916,-1.59876,-0.446794,0.763534,Robot Joint position,89.891,-90.8774,-88.7751,4.01767,-55.4419,74.8527,Robot TCP Torque,-47.9961,-17.9168,6.64023,-1.90905,-6.01565,19.1635,Robot Joint Torque,21.8824,12.5799,0.878332,-2.84657,-1.77165,2.70611,
No.3:Traction sensor V,1326,1926,1244,1693,2075,1694,0,0,0,0,0,0,Traction sensor F/M,1.18018,0.564809,0.62784,-0.306625,4.68605,0.114428,1.49072e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1987.61,1845.4,2443.54,1754.76,1717.83,1918.64,Contact sensor F/M,0.766705,3.53583,1.51147,-4.03995,1.66515,1.35137,Robot TCP position,0.404641,0.222922,0.829156,-1.59881,-0.446821,0.763689,Robot Joint position,89.8889,-90.8795,-88.7758,4.01698,-55.4336,74.8486,Robot TCP Torque,-47.9362,-18.5635,5.94916,-2.21059,-6.47562,19.6561,Robot Joint Torque,23.0494,12.0009,1.02902,-2.90432,-1.48145,2.70611,
No.4:Traction sensor V,1328,1925,1239,1693,2078,1695,0,0,0,0,0,0,Traction sensor F/M,0.954573,0.600129,0.181126,-0.436245,3.07071,0.29991,1.49138e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1988.22,1846.01,2443.85,1755.07,1717.83,1918.95,Contact sensor F/M,0.464016,3.42436,1.56295,-4.23902,1.13527,1.51382,Robot TCP position,0.404635,0.22291,0.829165,-1.5988,-0.446829,0.763617,Robot Joint position,89.8883,-90.8795,-88.7744,4.01629,-55.435,74.8514,Robot TCP Torque,-48.092,-18.6695,6.45881,-2.32754,-6.56904,19.373,Robot Joint Torque,22.1012,12.2904,0.908472,-2.75994,-1.62655,2.79248,
No.5:Traction sensor V,1328,1927,1241,1693,2079,1695,0,0,0,0,0,0,Traction sensor F/M,0.942818,0.48709,0.365872,-0.0257307,2.79237,0.304085,1.49071e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1987.61,1845.4,2443.24,1755.37,1717.83,1918.95,Contact sensor F/M,0.764714,3.94438,1.45468,-5.55917,1.65325,1.66365,Robot TCP position,0.404635,0.222937,0.829178,-1.59886,-0.446857,0.763685,Robot Joint position,89.8903,-90.8795,-88.7758,4.01355,-55.4336,74.8514,Robot TCP Torque,-46.1025,-18.5105,7.5517,-2.09425,-6.39453,18.8027,Robot Joint Torque,22.393,11.9285,0.607083,-2.8177,-1.27831,2.79248,
No.6:Traction sensor V,1330,1928,1241,1693,2077,1695,0,0,0,0,0,0,Traction sensor F/M,0.738125,0.429595,0.380684,0.201817,2.5388,0.282614,1.49112e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1987.61,1845.4,2444.46,1755.07,1717.53,1918.33,Contact sensor F/M,0.969379,3.74944,1.66058,-4.80964,2.41884,1.193,Robot TCP position,0.404646,0.222918,0.829152,-1.5988,-0.446831,0.763635,Robot Joint position,89.8876,-90.8802,-88.7751,4.01767,-55.4336,74.8507,Robot TCP Torque,-47.7013,-18.4765,6.02188,-1.94877,-6.19511,19.3089,Robot Joint Torque,22.1012,12.4351,0.968747,-2.9332,-1.36537,2.76369,
No.7:Traction sensor V,1331,1929,1241,1693,2071,1694,0,0,0,0,0,0,Traction sensor F/M,0.663406,0.391168,0.393317,0.378566,3.80052,0.0667565,1.49112e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1987,1845.7,2444.15,1755.37,1717.83,1918.64,Contact sensor F/M,1.07716,3.79749,1.60788,-5.28597,2.20813,1.44471,Robot TCP position,0.404635,0.222911,0.829177,-1.59881,-0.446825,0.763621,Robot Joint position,89.8883,-90.8795,-88.7737,4.01492,-55.435,74.8514,Robot TCP Torque,-47.1787,-17.6231,7.70935,-2.01708,-6.56917,19.0072,Robot Joint Torque,22.5388,12.2904,0.757776,-3.19308,-1.36537,2.79248,
No.8:Traction sensor V,1330,1930,1244,1693,2067,1693,0,0,0,0,0,0,Traction sensor F/M,0.789109,0.354917,0.665098,0.524705,5.30053,-0.128314,1.49112e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1988.22,1846.01,2444.15,1755.07,1717.53,1917.11,Contact sensor F/M,0.669827,3.43077,1.61314,-4.25845,1.89203,0.129231,Robot TCP position,0.404633,0.222899,0.829176,-1.59886,-0.446741,0.763679,Robot Joint position,89.8876,-90.8788,-88.7758,4.01424,-55.4357,74.8472,Robot TCP Torque,-47.9913,-18.3655,6.18881,-1.76399,-6.07446,19.4188,Robot Joint Torque,23.1224,12.2904,1.11944,-2.87545,-1.36537,2.90763,
No.9:Traction sensor V,1330,1928,1245,1692,2064,1692,0,0,0,0,0,0,Traction sensor F/M,0.814658,0.479494,0.74564,-0.193357,6.13232,-0.351232,1.49127e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1988.22,1845.7,2444.15,1755.07,1717.83,1918.64,Contact sensor F/M,0.458086,3.58042,1.61302,-4.50658,1.12426,1.31052,Robot TCP position,0.404642,0.222889,0.829176,-1.59876,-0.446818,0.763633,Robot Joint position,89.8876,-90.8781,-88.7731,4.01629,-55.4343,74.8493,Robot TCP Torque,-47.9133,-18.0043,6.31466,-2.11835,-6.42377,19.3636,Robot Joint Torque,22.0283,12.3628,1.36055,-2.47119,-1.33635,2.64854,
No.10:Traction sensor V,1330,1928,1245,1692,2064,1692,0,0,0,0,0,0,Traction sensor F/M,0.814658,0.479494,0.74564,-0.193357,6.13232,-0.351232,1.49004e-315,0,0.00189999,0.017937,-0.893032,-0.0787598,Contact sensor V,1987,1845.09,2444.76,1755.07,1717.22,1918.64,Contact sensor F/M,1.48074,3.91883,1.70798,-5.11305,3.71468,1.54993,Robot TCP position,0.40466,0.222922,0.829152,-1.5988,-0.446832,0.763634,Robot Joint position,89.8862,-90.8808,-88.7744,4.01767,-55.4322,74.8507,Robot TCP Torque,-47.7218,-18.1,6.93632,-2.10782,-6.39239,19.0791,Robot Joint Torque,22.7577,12.6523,0.968747,-2.78882,-1.42341,2.70611,
